,message
0,"Sachai h bro🌚
"
1,"Ranbir toh fuck boy tha🥲Alia maan kaise gyi
"
2,"🌚🌚
"
3,"Kl tak ruko aur photwa aayenv3🌚
"
4,"🙂ab farak nhi padhta
"
5,"Chaaku se🙂
"
6,"Haan bhai ye bhi hai sahi hai🙂🙂
"
7,"First nhi dekha tha sabaash🙂🙂
"
8,"Alia ko le gya wo🙂🌚
"
9,"Haan🙂bahut zyada pear pressure hone k baad bhi🙂
"
10,"Nhiii keechak krke🙂
"
11,"🤣🤣
"
12,"😂😂😂
"
13,"Tum iss society me acceptable nhi ho🙂🙂
"
14,"🤣🤣🤣
"
15,"Bhai aisa mat bolo kgf 1 toh maine bhi nahi dekha hai🙂🙂
"
16,"This message was deleted
"
17,"<Media omitted>
"
18,"Jao abhi dekho mast movie maja aayega🌚✨
"
19,"<Media omitted>
"
20,"Maine dekha hai🙂
"
21,"Uske liye download karna padega kal karunga download🙂🙂
"
22,"Abhi laga do🙂🙂
"
23,"Bhai data khatam go jayega kalke liyebhi toh bachana hai🥲🥲
"
24,"Ho**
"
25,"Bhai maza aaya movie dekhke ya boring tha???
"
26,"Thik h kal krna bro🥲🥲
"
27,"Maza aaya bhai boring nhi lagega agar mar dhaar me intrest h to🙂
"
28,"Story wise acchi hai.....but action wahi south Indian wala 😑
"
29,"Omk bhai kal dekh lunga🙂🙂
"
30,"Philhal mein chala gullak season 3 dekhne 🙂🙂
"
31,"Keechak kya hota hai🙂
"
32,"Humko farak nhi padhta🙂
"
33,"quiz Google forms me hogaa na??
"
34,"ha
"
35,"kitne mark ka quiz he?
"
36,"25
"
37,"Aec ke lia meet banega Kya?
"
38,
39,"@918963969526 aao jehar🙂
"
40,"The choice of ur words 🙃
"
41,"Ehehehe🌝🌝
"
42,"Sangiti ka asar hai 🙂
"
43,"Link Mila?
"
44,"Hn
"
45,"kaha?
"
46,"Idhar bhi send karde
"
47,"Classroom
"
48,"??
"
49,"Thanks
"
50,"<Media omitted>
"
51,"<Media omitted>
"
52,"<Media omitted>
"
53,"<Media omitted>
"
54,"<Media omitted>
"
55,"<Media omitted>
"
56,"<Media omitted>
"
57,"<Media omitted>
"
58,"<Media omitted>
"
59,"<Media omitted>
"
60,"<Media omitted>
"
61,"<Media omitted>
"
62,"<Media omitted>
"
63,"<Media omitted>
"
64,"<Media omitted>
"
65,"<Media omitted>
"
66,"<Media omitted>
"
67,"<Media omitted>
"
68,"<Media omitted>
"
69,"<Media omitted>
"
70,"<Media omitted>
"
71,"<Media omitted>
"
72,"@918292893635 jo questions nhi ban raha hai uska answer bhej 🙂
"
73,"<Media omitted>
"
74,"<Media omitted>
"
75,"remains unchanged ??
"
76,"<Media omitted>
"
77,".
"
78,"Aec quiz ka marks aa gaya🥲
"
79,"🙂
"
80,"Koi na
"
81,"Shi kiye the phle🥲🥲
"
82,"🥲🥲💀
"
83,"Kisko gaali dena hai?
"
84,"Haa
"
85,"Kisi ko nhiii agar unlog nhi batate to 16 bhi nhi aata🙂
"
86,"@918963969526 ko
"
87,"Wo bhi hai...
"
88,"Ye bhi hai
"
89,"Exactly
"
90,"To isliye thank you sabko😊✨
"
91,"Wahi na bhai🥲
"
92,"🥚ctly🥲
"
93,"vahi toh 😂
"
94,"+1111
"
95,"🌝🤝🏻
"
96,"🤣🤣🤣🤣
"
97,"🙂✨🙂✨
"
98,"Jo aaya thik h
"
99,"🌚🤝🏻
"
100,"Wahi na mast h🌚✨
"
101,"sir ne abhi jo bhejaa he usme jo ans bola he woh toh option me thaa hi nhi??
"
102,"Mai v yhi soch rha tha😂
"
103,"<Media omitted>
"
104,"To hmlogo ko to extra marks milna chaiye na🌝🌝
"
105,"toh sir ko 1 mark mangoo
"
106,"<Media omitted>
"
107,"Wahi na sir ko message kro @916394650588 🌝🌝
"
108,"i will keep it as grace mark
"
109,"<Media omitted>
"
110,"haaaan @916394650588  sir ke piche lagoo🌚
"
111,"bol bhi diye
"
112,"grace mark denge
"
113,"<Media omitted>
"
114,"Ye wala question ka grace marks nhi milega?🙂
"
115,"Lmao
"
116,"Abe
Right bolke wrong bol rhe hai
What's wrong with him👀
"
117,"Wo bol raha hai ki deep sahi hai, aur usne jo answer Diya wo galat
"
118,"Accha
"
119,"<Media omitted>
"
120,"Aec ka activity hogya hai??
"
121,"Mere ko yaad kiya🙂
"
122,"Sir?🙂
"
123,"Subko 16 aaye🙂??
"
124,"17🙂
"
125,"Mera guess shi ho gya
"
126,"Omhhh🙂🙂
"
127,"Jo guess kiye the na ek wo wala shi ho gya🙂🙂
"
128,"same
"
129,"🤝🏻🤝🏻🌚✨
"
130,"Mujhe bhi 🫂
"
131,"🌚✨🫂🫂🫂
"
132,"Tukka acha maar lete ho🙂
"
133,
134,"*Uploading time has been reduced to 10 min*
"
135,"Dhanywad 🙂
"
136,"<Media omitted>
"
137,"Happy new year to all the odia and bengali people here🙂
"
138,"✨❤🎶
"
139,"Odia log ka kl tha🙂
"
140,"Aaj bengali ko happy new year✨🌚
"
141,"Amcha🙂
"
142,"Haaamh🙂
"
143,"Happy new year to bengali people🌝❤✨
"
144,"Mere taraf se bhi same 2 same🌚✨
"
145,"Belated happy new year to odia people❤🌝✨
"
146,"Areyy Happy New Year✨♥️
"
147,"🌝✨❤
"
148,"🌝❣️ Thankyou buddy!!
"
149,"🌝✨❤
"
150,"Maine bhi bola tha @919163919125 and @918967235189 🥲🥲
"
151,"<Media omitted>
"
152,"Sabko thankyou jinhone bhi bola 🙂
Happy new year 🎉🎉
And mei chla party mei!!🌝
"
153,"✨🌚🌚🌚
Mere ko bhi party me le chalo
"
154,"Arey arey Happy New Year Bhai 💫❤️🫂
"
155,"<Media omitted>
"
156,"Happy new year✨🌚
"
157,"<Media omitted>
"
158,"😂
"
159,"🤣🤣🤣
"
160,"Samajh nhi aata kya you are being ignored 🙂accept it and fuck off
"
161,"Samaj aaya tha but socha dhayan nhi diye honge🥲🥲
"
162,"I guess that might be a compilation error🙂
"
163,"But guesses is always not right 🙂
"
164,"This message was deleted
"
165,"🙂
"
166,"Kya delete kiye?🙂
"
167,"Kal kuch quiz hai kya?
"
168,"Bezzati ho jaati tumhari🙂
"
169,"Samjha dost🥺🫂
"
170,"Are*🙂 
Grammatical error ka ek no. Kaat gya
"
171,"0 marks aaye🙂
"
172,"Kaise 0 marks?🥲
"
173,"One mark ka question hi tha🙂
"
174,"To fir full do maine shi kiya na🙂
"
175,"After submission 🙂
"
176,"Sumbit kr diya maine🙂
"
177,"Nahin
"
178,"🙂✨
"
179,"🌝❤✨
"
180,"🥲🥲🥲
"
181,"Hihahahaha
"
182,"<Media omitted>
"
183,"Kya hua bro?🥲🥲
"
184,"<Media omitted>
"
185,"Vo toh tum jaano🌝
"
186,"<Media omitted>
"
187,"Kucb nhi hua🥲🥲
"
188,"<Media omitted>
"
189,"<Media omitted>
"
190,"Kl class h ki nhi?🥺
"
191,"Hai🙂
"
192,"Cancel crow🙂
"
193,"Midsems hai Monday se
"
194,"Kal sab bunk karo
"
195,"Aec me kya assignment tha?🙂
"
196,"Main ready hu🙂
"
197,"solve question papers
"
198,"Ans bhejo🙂
"
